date,spy_close,spy_open,spy_high,spy_low,spy_volume,spy_sma20,spy_sma50,spy_sma200,spy_above_sma20,spy_above_sma50,spy_above_sma200,spy_sma20_slope_up,spy_return_1d,spy_return_5d,spy_return_20d,spy_return_60d,spy_gap_pct,spy_range_pct,spy_range_pct_sma10,spy_range_expansion,spy_realized_vol_20d,qqq_close,qqq_above_sma20,qqq_above_sma50,qqq_return_1d,qqq_return_5d,qqq_realized_vol_20d,spy_qqq_divergence_1d,market_regime_label
2025-05-07,561.15,560.15,563.82,556.04,55733229,543.911,554.5454,573.1627,1,1,0,1,0.004205,0.01192,0.130257,-0.072249,0.002416,0.013864,0.014604,0.9493,0.439173,483.3,1,1,0.003926,0.016468,0.491265,0.000279,bullish
2025-05-08,565.06,565.24,570.31,561.7,65130787,544.733,553.9558,573.2148,1,1,0,1,0.006968,0.0118,0.029966,-0.066495,0.007289,0.015237,0.013937,1.0933,0.265724,488.29,1,1,0.010325,0.013723,0.292829,-0.003357,bullish
2025-05-09,564.34,566.48,567.5,562.7637,37603427,546.721,553.5416,573.2676,1,1,0,1,-0.001274,-0.00427,0.075794,-0.064671,0.002513,0.008393,0.01344,0.6245,0.202583,487.97,1,1,-0.000655,-0.001759,0.238394,-0.000619,bullish
2025-05-12,582.99,581.47,583.0,577.04,78993570,549.1735,553.3178,573.4764,1,1,1,1,0.033047,0.034569,0.091864,-0.043855,0.030354,0.010223,0.012913,0.7917,0.222102,507.85,1,1,0.04074,0.045109,0.265848,-0.007693,bullish
2025-05-13,586.84,583.41,589.08,582.84,67947225,551.5595,553.3792,573.7185,1,1,1,1,0.006604,0.050179,0.088515,-0.037494,0.00072,0.010633,0.012732,0.8351,0.221403,515.59,1,1,0.015241,0.071,0.267999,-0.008637,bullish
2025-05-14,587.59,587.81,588.98,585.535,66283531,554.0585,553.5938,573.9342,1,1,1,1,0.001278,0.047118,0.092967,-0.039085,0.001653,0.005863,0.010613,0.5524,0.220151,518.68,1,1,0.005993,0.073205,0.267383,-0.004715,bullish
2025-05-15,590.46,585.56,590.97,585.0969,71268145,557.2985,553.7418,574.1628,1,1,1,1,0.004884,0.044951,0.123274,-0.03666,-0.003455,0.009947,0.010496,0.9477,0.195854,519.25,1,1,0.001099,0.063405,0.230597,0.003785,bullish
2025-05-16,594.2,591.25,594.5,589.28,76052101,560.688,554.1716,574.4238,1,1,1,1,0.006334,0.052911,0.128778,-0.026508,0.001338,0.008785,0.010316,0.8516,0.195169,521.51,1,1,0.004352,0.068734,0.229073,0.001982,bullish
2025-05-19,594.85,588.1,595.54,588.1,68168509,564.7365,554.5502,574.644,1,1,1,1,0.001094,0.020343,0.157566,-0.008484,-0.010266,0.012507,0.010688,1.1702,0.161067,522.01,1,1,0.000959,0.027882,0.19536,0.000135,bullish
2025-05-20,592.85,593.09,594.05,589.6,60614492,568.0165,555.1956,574.8932,1,1,1,1,-0.003362,0.010241,0.124419,-0.007301,-0.002959,0.007506,0.010296,0.729,0.149738,520.27,1,1,-0.003333,0.009077,0.189955,-2.9e-05,bullish
2025-05-21,582.86,588.44,592.58,581.82,95197657,570.3885,555.7344,575.1429,1,1,1,1,-0.016851,-0.00805,0.088603,-0.019151,-0.007439,0.018461,0.010756,1.7163,0.165698,513.04,1,1,-0.013897,-0.010874,0.196814,-0.002954,bullish
2025-05-22,583.09,582.66,586.62,581.405,70860417,572.2085,556.2188,575.4715,1,1,1,1,0.000395,-0.012482,0.066583,-0.019259,-0.000343,0.008944,0.010126,0.8833,0.154036,514.0,1,1,0.001871,-0.010111,0.179666,-0.001476,bullish
2025-05-23,579.11,575.98,581.8101,575.6,76029046,573.632,556.7726,575.7563,1,1,1,1,-0.006826,-0.025395,0.051703,-0.010153,-0.012194,0.010724,0.010359,1.0352,0.157264,509.24,1,1,-0.009261,-0.023528,0.184649,0.002435,bullish
2025-05-27,591.15,586.07,591.31,578.43,72588475,575.647,557.3394,576.1188,1,1,1,1,0.020791,-0.00622,0.07316,-0.005099,0.012018,0.021788,0.011516,1.892,0.169485,521.22,1,1,0.023525,-0.001513,0.196366,-0.002734,bullish
2025-05-28,587.73,591.56,592.7688,586.985,68445512,577.3175,557.751,576.4042,1,1,1,1,-0.005785,-0.008636,0.060272,0.006783,0.000694,0.009841,0.011437,0.8605,0.172289,518.91,1,1,-0.004432,-0.002614,0.199007,-0.001353,bullish
2025-05-29,590.05,593.06,593.2,586.07,70073758,579.093,558.3316,576.6894,1,1,1,1,0.003947,0.012336,0.064035,0.022865,0.009069,0.012084,0.012059,1.0021,0.172058,519.93,1,1,0.001966,0.01343,0.198519,0.001981,bullish
2025-05-30,589.39,588.93,591.1299,583.235,90601242,580.639,558.7768,576.97,1,1,1,1,-0.001119,0.010805,0.055366,0.010857,-0.001898,0.013395,0.012404,1.0799,0.172012,519.11,1,1,-0.001577,0.009942,0.196964,0.000458,bullish
2025-06-02,592.71,587.76,592.79,585.06,61630502,581.9365,559.3212,577.2234,1,1,1,1,0.005633,0.023484,0.045787,0.034922,-0.002766,0.013042,0.012829,1.0166,0.166504,523.21,1,1,0.007898,0.027433,0.193355,-0.002265,bullish
2025-06-03,596.09,592.34,597.08,591.85,63606204,583.5655,559.9634,577.4851,1,1,1,1,0.005703,0.008357,0.057816,0.035022,-0.000624,0.008774,0.012456,0.7044,0.164158,527.3,1,1,0.007817,0.011665,0.190676,-0.002114,bullish
2025-06-04,595.93,596.96,597.95,595.49,57314199,585.422,560.4004,577.6994,1,1,1,1,-0.000268,0.013952,0.066446,0.06306,0.00146,0.004128,0.012118,0.3407,0.159264,528.77,1,1,0.002788,0.019001,0.184092,-0.003056,bullish
2025-06-05,593.05,597.63,599.0,591.05,92436397,587.017,560.7522,577.8931,1,1,1,1,-0.004833,0.005084,0.056848,0.06679,0.002853,0.013405,0.011613,1.1543,0.16174,524.79,1,1,-0.007527,0.009347,0.189167,0.002694,bullish
2025-06-06,599.14,598.66,600.83,596.86,66588743,588.721,561.3632,578.0908,1,1,1,1,0.010269,0.016543,0.060312,0.072056,0.00946,0.006626,0.011381,0.5822,0.163271,529.92,1,1,0.009775,0.020824,0.188942,0.000494,bullish
2025-06-09,599.68,599.72,601.25,598.49,53016418,590.488,562.0152,578.2956,1,1,1,1,0.000901,0.01176,0.062622,0.087519,0.000968,0.004602,0.010768,0.4274,0.16271,530.7,1,1,0.001472,0.014315,0.188383,-0.000571,bullish
2025-06-10,603.08,600.22,603.47,599.09,66246973,591.4925,562.9636,578.508,1,1,1,1,0.00567,0.011726,0.03446,0.071552,0.0009,0.007263,0.009316,0.7796,0.120679,534.21,1,1,0.006614,0.013104,0.133754,-0.000944,bullish
2025-06-11,601.36,604.19,605.06,599.27,73658225,592.2185,563.803,578.7336,1,1,1,1,-0.002852,0.009112,0.024743,0.060319,0.001841,0.009628,0.009295,1.0358,0.120258,532.41,1,1,-0.003369,0.006884,0.126576,0.000517,bullish
2025-06-12,603.75,600.01,603.75,599.52,64129003,593.0265,564.6586,578.9418,1,1,1,1,0.003974,0.018042,0.027502,0.076165,-0.002245,0.007006,0.008787,0.7973,0.120653,533.66,1,1,0.002348,0.016902,0.125566,0.001626,bullish
