ticker,name,primary_exchange,latest_close,avg_volume
LYFT,"Lyft, Inc. Class A Common Stock",XNAS,13.16,17760186
M,Macy's Inc.,XNYS,18.38,7769470
MARA,"MARA Holdings, Inc. Common Stock",XNAS,8.25,47501657
MAT,"Mattel, Inc.",XNAS,14.95,4317820
MBLY,Mobileye Global Inc. Class A Common Stock,XNAS,7.12,5877665
MCHP,Microchip Technology Inc,XNAS,65.63,9397515
MDLN,Medline Inc. Class A common stock,XNAS,42.03,7187321
MDT,Medtronic plc,XNYS,86.58,7541829
MGM,MGM RESORTS INTERNATIONAL,XNYS,37.11,5012727
MNST,Monster Beverage Corporation,XNAS,73.0,5818915
MO,"Altria Group, Inc.",XNYS,64.32,9269216
MOS,The Mosaic Company,XNYS,25.2,6380659
MP,MP Materials Corp.,XNYS,53.29,11325885
MRNA,"Moderna, Inc. Common Stock",XNAS,51.34,10792583
MRVL,"Marvell Technology, Inc. Common Stock",XNAS,92.36,19195974
MTCH,"Match Group, Inc",XNAS,30.39,4520330
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,XNYS,19.66,17059515
NEE,"NextEra Energy, Inc.",XNYS,91.62,10756335
NEM,Newmont Corporation,XNYS,99.02,11522825
NEOG,Neogen Corp,XNAS,9.11,5206246
NFLX,NetFlix Inc,XNAS,90.92,41356209
NG,NovaGold Resources Inc.,XASE,8.08,4028254
NI,NiSource Inc.,XNYS,45.68,4238980
NKE,"Nike, Inc.",XNYS,53.49,16928320
NLY,Annaly Capital Management. Inc.,XNYS,21.08,7860329
NOV,NOV Inc.,XNYS,19.51,4235572
NTLA,"Intellia Therapeutics, Inc",XNAS,12.81,5396337
NVAX,Novavax Inc,XNAS,9.26,6061144
NVTS,Navitas Semiconductor Corporation Common Stock,XNAS,9.28,29637207
NXE,NexGen Energy Ltd.,XNYS,11.63,9129904
O,Realty Income Corporation,XNYS,60.46,5928968
OBDC,Blue Owl Capital Corporation,XNYS,11.18,4451013
OGN,Organon & Co.,XNYS,6.11,5128425
OKE,"Oneok, Inc.",XNYS,90.94,4149887
OKLO,Oklo Inc.,XNYS,54.96,16036311
OMC,Omnicom Group Inc.,XNYS,75.39,4262929
ON,ON Semiconductor Corp,XNAS,62.34,9349899
ONDS,Ondas Inc. Common Stock,XNAS,10.68,56674704
ONON,On Holding AG,XNYS,39.59,5978446
OPEN,Opendoor Technologies Inc Common Stock,XNAS,5.18,149648449
ORC,"Orchid Island Capital, Inc.",XNYS,6.95,5305757
ORLY,"O'Reilly Automotive, Inc.",XNAS,87.99,5643806
OWL,Blue Owl Capital Inc.,XNYS,8.96,14482743
OXY,Occidental Petroleum Corporation,XNYS,61.25,12061181
PAAS,Pan American Silver Corp.,XNYS,49.87,6534091
PAGS,PagSeguro Digital Ltd.,XNYS,9.96,4840518
PATH,"UiPath, Inc.",XNYS,11.07,21262967
PCG,PG&E Corporation,XNYS,17.34,23194333
PFE,Pfizer Inc.,XNYS,26.96,51297928
