ticker,name,primary_exchange,latest_close,latest_close_date,average_daily_volume,average_daily_dollar_volume,price_bucket,adv_dollar_bucket,recent_gap_frequency_proxy,recent_range_expansion_proxy,overnight_planning_suitability_score,include_in_working_universe,exclusion_reason
RACE,Ferrari N.V.,XNYS,322.02,2026-03-24,730306,259320262,price_200_500,adv_100m_plus,0.6774,0.019194,0.6158,True,
RVLV,"Revolve Group, Inc.",XNYS,21.98,2026-03-24,1127514,30170744,price_20_40,adv_20m_50m,0.6774,0.043127,0.6158,True,
TRIP,"TripAdvisor, Inc.",XNAS,9.72,2026-03-24,3342480,38383111,price_5_10,adv_20m_50m,0.5968,0.04748,0.6157,True,
TOL,"Toll Brothers, Inc.",XNYS,136.46,2026-03-24,1237751,182380689,price_80_200,adv_100m_plus,0.5645,0.03055,0.6156,True,
MLYS,"Mineralys Therapeutics, Inc. Common Stock",XNAS,22.88,2026-03-24,1222206,36975755,price_20_40,adv_20m_50m,0.5484,0.055291,0.6155,True,
NRIX,"Nurix Therapeutics, Inc. Common stock",XNAS,14.44,2026-03-24,1107696,18812456,price_10_20,adv_5m_20m,0.6613,0.053139,0.6154,True,
FRSH,Freshworks Inc. Class A Common Stock,XNAS,7.95,2026-03-24,5670231,51131624,price_5_10,adv_50m_100m,0.5806,0.04439,0.6149,True,
RSI,"Rush Street Interactive, Inc.",XNYS,22.16,2026-03-24,2051190,38375637,price_20_40,adv_20m_50m,0.5968,0.047353,0.6149,True,
VIA,"Via Transportation, Inc.",XNYS,13.43,2026-03-24,744931,15094768,price_10_20,adv_5m_20m,0.5645,0.075125,0.6147,True,
EMN,Eastman Chemical Company,XNYS,69.95,2026-03-24,1686456,120205506,price_40_80,adv_100m_plus,0.5645,0.033892,0.6145,True,
CHH,Choice Hotels Intnl.,XNYS,99.0,2026-03-24,687599,71132888,price_80_200,adv_50m_100m,0.6129,0.035752,0.6143,True,
GPRE,"Green Plains, Inc.",XNAS,16.3,2026-03-24,1507267,20255062,price_10_20,adv_20m_50m,0.5968,0.059905,0.6143,True,
NUE,Nucor Corporation,XNYS,162.74,2026-03-24,1696291,296318207,price_80_200,adv_100m_plus,0.5645,0.026873,0.614,True,
CHRD,Chord Energy Corporation Common Stock,XNAS,136.99,2026-03-24,980286,106586633,price_80_200,adv_100m_plus,0.5806,0.033541,0.6139,True,
TRGP,Targa Resources Corp.,XNYS,246.1,2026-03-24,1395319,299892026,price_200_500,adv_100m_plus,0.5645,0.026797,0.6136,True,
IONS,"Ionis Pharmaceuticals, Inc. Common Stock",XNAS,69.68,2026-03-24,2197564,174278973,price_40_80,adv_100m_plus,0.5484,0.031539,0.6135,True,
JHX,James Hardie Industries plc,XNYS,19.36,2026-03-24,6148752,140103399,price_10_20,adv_100m_plus,0.5806,0.031073,0.6134,True,
AMLX,"Amylyx Pharmaceuticals, Inc. Common Stock",XNAS,13.66,2026-03-24,1311084,18329532,price_10_20,adv_5m_20m,0.5968,0.062201,0.6132,True,
DHI,D.R. Horton Inc.,XNYS,138.33,2026-03-24,2999587,455405003,price_80_200,adv_100m_plus,0.4677,0.030412,0.6131,True,
CRNX,"Crinetics Pharmaceuticals, Inc.",XNAS,34.37,2026-03-24,1213174,55672685,price_20_40,adv_50m_100m,0.5161,0.049292,0.6131,True,
SPT,"Sprout Social, Inc Class A Common Stock",XNAS,5.5,2026-03-24,1597744,12345259,price_5_10,adv_5m_20m,0.6774,0.060201,0.613,True,
APTV,Aptiv PLC,XNYS,70.92,2026-03-24,2290347,177181876,price_40_80,adv_100m_plus,0.5484,0.031279,0.6129,True,
MEDP,"Medpace Holdings, Inc. Common Stock",XNAS,460.74,2026-03-24,326155,163429580,price_200_500,adv_100m_plus,0.4839,0.03727,0.6128,True,
XRAY,DENTSPLY SIRONA Inc.,XNAS,11.465,2026-03-24,4728268,59461494,price_10_20,adv_50m_100m,0.5645,0.043274,0.6127,True,
SLG,SL Green Realty Corp.,XNYS,37.93,2026-03-24,1351389,56581269,price_20_40,adv_50m_100m,0.5806,0.042119,0.6127,True,
OSK,Oshkosh Corp.,XNYS,146.65,2026-03-24,774899,120584383,price_80_200,adv_100m_plus,0.5484,0.034634,0.6121,True,
WYNN,Wynn Resorts Ltd,XNAS,102.77,2026-03-24,1635004,179959410,price_80_200,adv_100m_plus,0.5323,0.032018,0.6116,True,
ARQT,"Arcutis Biotherapeutics, Inc. Common Stock",XNAS,21.83,2026-03-24,1463231,38392762,price_20_40,adv_20m_50m,0.5968,0.046216,0.6115,True,
FULC,"Fulcrum Therapeutics, Inc. Common Stock",XNAS,6.7,2026-03-24,991010,9129364,price_5_10,adv_5m_20m,0.6613,0.0707,0.6115,True,
SBUX,Starbucks Corp,XNAS,91.98,2026-03-24,9066241,854557847,price_80_200,adv_100m_plus,0.4677,0.027863,0.6115,True,
SBH,"Sally Beauty Holdings, Inc.",XNYS,13.81,2026-03-24,1683636,25866103,price_10_20,adv_20m_50m,0.6613,0.045931,0.6114,True,
HZO,"MarineMax, Inc.",XNYS,26.31,2026-03-24,437738,12291780,price_20_40,adv_5m_20m,0.7258,0.054291,0.6114,True,
WMS,"ADVANCED DRAINAGE SYSTEMS, INC.",XNYS,136.57,2026-03-24,752541,116735642,price_80_200,adv_100m_plus,0.5968,0.03114,0.6114,True,
CRBG,"Corebridge Financial, Inc.",XNYS,23.48,2026-03-24,3928269,111916466,price_20_40,adv_100m_plus,0.5806,0.032504,0.611,True,
CGEM,"Cullinan Therapeutics, Inc. Common Stock",XNAS,13.64,2026-03-24,790314,10019747,price_10_20,adv_5m_20m,0.6613,0.067547,0.6106,True,
TREE,"LendingTree, Inc.",XNAS,42.23,2026-03-24,389847,18428962,price_40_80,adv_5m_20m,0.5806,0.063841,0.6103,True,
CRC,California Resources Corporation,XNYS,65.33,2026-03-24,964725,53545907,price_40_80,adv_50m_100m,0.6774,0.033549,0.61,True,
ADSK,Autodesk Inc,XNAS,239.39,2026-03-24,2123786,535022797,price_200_500,adv_100m_plus,0.4516,0.029985,0.6093,True,
FLG,"Flagstar Bank, National Association",XNYS,13.14,2026-03-24,5214564,68339022,price_10_20,adv_50m_100m,0.629,0.033554,0.6092,True,
WAY,Waystar Holding Corp. Common Stock,XNAS,24.03,2026-03-24,2509070,66464301,price_20_40,adv_50m_100m,0.5323,0.043319,0.6089,True,
