ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
LNTH,"Lantheus Holdings, Inc",stocks,us,XNAS,CS,True,usd,0001521036,BBG006Q52RD0,BBG006Q52RF8,2026-03-24T06:07:49.663766334Z
LNZA,"LanzaTech Global, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001843724,BBG00ZCX69R1,BBG00ZCX6BL2,2026-03-24T06:07:49.663766444Z
LOAN,"Manhattan Bridge Capital, Inc",stocks,us,XNAS,CS,True,usd,0001080340,BBG000BVMZD2,BBG001SCRDM8,2026-03-24T06:07:49.663766875Z
LOB,"Live Oak Bancshares, Inc.",stocks,us,XNYS,CS,True,usd,0001462120,BBG000MHBSQ5,BBG001T4RVG2,2026-03-24T06:07:49.663767135Z
LOBO,LOBO TECHNOLOGIES LTD. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001932072,,,2026-03-24T06:07:49.663767245Z
LOCL,Local Bounti Corporation,stocks,us,XNYS,CS,True,usd,0001840780,BBG00ZF07ZX4,BBG00ZF07ZZ2,2026-03-24T06:07:49.663767466Z
LOCO,"El Pollo Loco Holdings, Inc.",stocks,us,XNAS,CS,True,usd,0001606366,BBG000LC2VD4,BBG001SQ0C48,2026-03-24T06:07:49.663767726Z
LODE,Comstock Inc.,stocks,us,XASE,CS,True,usd,0001120970,BBG000BCBFG7,BBG001S6TTL5,2026-03-24T06:07:49.663768107Z
LOGI,Logitech International SA,stocks,us,XNAS,CS,True,usd,0001032975,,,2026-03-24T06:07:49.663768408Z
LOKV,Live Oak Acquisition Corp. V Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002048951,,,2026-03-24T06:07:49.663768628Z
LONA,"LeonaBio, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001620463,BBG00C77LX40,BBG00C77LXM0,2026-03-24T06:07:49.663769099Z
LOOP,"Loop Industries, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001504678,BBG003FMFRS2,BBG003FMFSJ0,2026-03-24T06:07:49.66376937Z
LOPE,"Grand Canyon Education, Inc",stocks,us,XNAS,CS,True,usd,0001434588,BBG000FV28W9,BBG001T01JZ4,2026-03-24T06:07:49.6637695Z
LOVE,The Lovesac Company Common Stock,stocks,us,XNAS,CS,True,usd,0001701758,BBG000QYVKN2,BBG001T8S8C7,2026-03-24T06:07:49.663770822Z
LPA,Logistic Properties of the Americas,stocks,us,XASE,CS,True,usd,0001997711,,,2026-03-24T06:07:49.663771213Z
LPAA,Launch One Acquisition Corp. Class A Ordinary shares,stocks,us,XNAS,CS,True,usd,0002015502,,,2026-03-24T06:07:49.663771323Z
LPBB,Launch Two Acquisition Corp. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002023676,,,2026-03-24T06:07:49.663771934Z
LPCN,Lipocine Inc.,stocks,us,XNAS,CS,True,usd,0001535955,BBG0029L1X69,BBG0029L1Y76,2026-03-24T06:07:49.663772285Z
LPCV,Launchpad Cadenza Acquisition Corp I Class A Ordinary Share,stocks,us,XNAS,CS,True,usd,0002083728,,,2026-03-24T06:07:49.663772415Z
LPG,DORIAN LPG LTD,stocks,us,XNYS,CS,True,usd,0001596993,,,2026-03-24T06:07:49.663773147Z
LPLA,LPL Financial Holdings Inc.,stocks,us,XNAS,CS,True,usd,0001397911,BBG000P2TYL8,BBG001T5GK39,2026-03-24T06:07:49.663773578Z
LPRO,Open Lending Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001806201,BBG00VDHLSQ6,BBG00VDHLTH4,2026-03-24T06:07:49.663773808Z
LPSN,LivePerson Inc,stocks,us,XNAS,CS,True,usd,0001102993,BBG000BSV0W5,BBG001SCKYC0,2026-03-24T06:07:49.663774069Z
LPTH,Lightpath Technologies Inc,stocks,us,XNAS,CS,True,usd,0000889971,BBG000M6G940,BBG001SD9WB6,2026-03-24T06:07:49.663774319Z
LPX,Louisiana-Pacific Corp.,stocks,us,XNYS,CS,True,usd,0000060519,BBG000BNF508,BBG001S5SW04,2026-03-24T06:07:49.66377456Z
LQDA,Liquidia Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001819576,BBG001J2P905,BBG001V0GFD7,2026-03-24T06:07:49.663775181Z
LQDT,"Liquidity Services, Inc.",stocks,us,XNAS,CS,True,usd,0001235468,BBG000QXXMF7,BBG001SLKD81,2026-03-24T06:07:49.663775782Z
LRCX,Lam Research Corp,stocks,us,XNAS,CS,True,usd,0000707549,BBG000BNFLM9,BBG001S5SW40,2026-03-24T06:07:49.663776644Z
LRHC,La Rosa Holding Corp. Common Stock,stocks,us,XNAS,CS,True,usd,0001879403,BBG016XCM9J8,BBG016XCMBC0,2026-03-24T06:07:49.663777365Z
LRN,"Stride, Inc.",stocks,us,XNYS,CS,True,usd,0001157408,BBG000QSXPZ9,BBG001SNN4P5,2026-03-24T06:07:49.663777896Z
LSAK,"Lesaka Technologies, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001041514,BBG000BXYSR6,BBG001SB4HP3,2026-03-24T06:07:49.663778547Z
LSBK,"Lake Shore Bancorp, Inc.",stocks,us,XNAS,CS,True,usd,0002059653,BBG01W7CYXF8,BBG01W7CYY93,2026-03-24T06:07:49.663778798Z
LSCC,Lattice Semiconductor Corp,stocks,us,XNAS,CS,True,usd,0000855658,BBG000C2D1C1,BBG001S6C0G2,2026-03-24T06:07:49.663778908Z
LSE,"Leishen Energy Holding Co., Ltd. Class A Ordinary Shares",stocks,us,XNAS,CS,True,usd,0001985139,,,2026-03-24T06:07:49.663779018Z
LSF,"Laird Superfood, Inc.",stocks,us,XASE,CS,True,usd,0001650696,BBG00N22BF60,BBG00N22BF79,2026-03-24T06:07:49.663779239Z
LSH,Lakeside Holding Limited Common Stock,stocks,us,XNAS,CS,True,usd,0001996192,BBG01M7VPQH1,BBG01M7VPRB5,2026-03-24T06:07:49.663779469Z
LSPD,Lightspeed Commerce Inc.,stocks,us,XNYS,CS,True,usd,0001823306,BBG00PZ78ZM0,BBG00B0JR9Q6,2026-03-24T06:07:49.663779699Z
LSTA,"Lisata Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000320017,BBG000BNVDR4,BBG001SBTRW6,2026-03-24T06:07:49.66377995Z
LTC,"LTC Properties, Inc.",stocks,us,XNYS,CS,True,usd,0000887905,BBG000BGCCC8,BBG001S73DC6,2026-03-24T06:07:49.663780962Z
LTH,"Life Time Group Holdings, Inc.",stocks,us,XNYS,CS,True,usd,0001869198,BBG012J3H017,BBG012J3H0X2,2026-03-24T06:07:49.663781182Z
LTRN,Lantern Pharma Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001763950,BBG00GM6LK17,BBG00GM6LK26,2026-03-24T06:07:49.663781553Z
LTRX,Lantronix Inc,stocks,us,XNAS,CS,True,usd,0001114925,BBG000BW4GK4,BBG001SFBNM6,2026-03-24T06:07:49.663781643Z
LUCD,Lucid Diagnostics Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001799011,BBG012NYMLC0,BBG012NYMM65,2026-03-24T06:07:49.663782054Z
LUCK,Lucky Strike Entertainment Corporation,stocks,us,XNYS,CS,True,usd,0001840572,BBG00Z6BJ689,BBG00Z6BJ698,2026-03-24T06:07:49.663782154Z
LUCY,"Innovative Eyewear, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001808377,BBG014FPQ7D0,BBG014FPQ884,2026-03-24T06:07:49.663782244Z
LUD,Luda Technology Group Limited,stocks,us,XASE,CS,True,usd,0001984124,,,2026-03-24T06:07:49.663782605Z
LUMN,"Lumen Technologies, Inc.",stocks,us,XNYS,CS,True,usd,0000018926,BBG000BGLRN3,BBG001S5Q8G2,2026-03-24T06:07:49.663783286Z
